idx,label,sentiment,verdict,preserved
0,0,positive,yes,1
0,0,negative,yes,1
0,0,neutral,yes,1
1,1,positive,yes,1
1,1,negative,yes,1
1,1,neutral,yes,1
2,0,positive,yes,1
2,0,negative,yes,1
2,0,neutral,yes,1
3,1,positive,yes,1
3,1,negative,yes,1
3,1,neutral,yes,1
4,1,positive,no,0
4,1,negative,yes,1
4,1,neutral,yes,1
5,0,positive,yes,1
5,0,negative,yes,1
5,0,neutral,yes,1
6,1,positive,yes,1
6,1,negative,yes,1
6,1,neutral,yes,1
7,1,positive,no,0
7,1,negative,yes,1
7,1,neutral,yes,1
8,0,positive,no,0
8,0,negative,yes,1
8,0,neutral,yes,1
9,0,positive,yes,1
9,0,negative,yes,1
9,0,neutral,yes,1
10,0,positive,no,0
10,0,negative,yes,1
10,0,neutral,yes,1
11,0,positive,yes,1
11,0,negative,yes,1
11,0,neutral,yes,1
12,0,positive,yes,1
12,0,negative,yes,1
12,0,neutral,yes,1
13,1,positive,yes,1
13,1,negative,yes,1
13,1,neutral,yes,1
14,1,positive,yes,1
14,1,negative,yes,1
14,1,neutral,yes,1
15,1,positive,no,0
15,1,negative,yes,1
15,1,neutral,yes,1
16,1,positive,yes,1
16,1,negative,yes,1
16,1,neutral,yes,1
17,0,positive,yes,1
17,0,negative,yes,1
17,0,neutral,yes,1
18,1,positive,yes,1
18,1,negative,yes,1
18,1,neutral,yes,1
19,0,positive,yes,1
19,0,negative,yes,1
19,0,neutral,yes,1
20,0,positive,yes,1
20,0,negative,yes,1
20,0,neutral,yes,1
21,1,positive,no,0
21,1,negative,yes,1
21,1,neutral,yes,1
22,1,positive,no,0
22,1,negative,yes,1
22,1,neutral,yes,1
23,1,positive,yes,1
23,1,negative,yes,1
23,1,neutral,yes,1
24,0,positive,yes,1
24,0,negative,yes,1
24,0,neutral,yes,1
25,0,positive,yes,1
25,0,negative,yes,1
25,0,neutral,yes,1
26,0,positive,yes,1
26,0,negative,yes,1
26,0,neutral,yes,1
27,0,positive,yes,1
27,0,negative,yes,1
27,0,neutral,yes,1
28,1,positive,yes,1
28,1,negative,yes,1
28,1,neutral,yes,1
29,0,positive,yes,1
29,0,negative,yes,1
29,0,neutral,yes,1
30,1,positive,yes,1
30,1,negative,yes,1
30,1,neutral,yes,1
31,0,positive,yes,1
31,0,negative,yes,1
31,0,neutral,yes,1
32,0,positive,yes,1
32,0,negative,yes,1
32,0,neutral,yes,1
33,0,positive,yes,1
33,0,negative,yes,1
33,0,neutral,yes,1
